mlbam,bbref,fangraphs,retro,name
695020,murrata01,,,Tanner Murray
814453,,,,Nathan Archer
822652,,,,Lucas Mahlstedt
593468,,,,Claudio Custodio
665152,kremede01,19350,kremd001,Dean Kremer
833302,,,,Roberto Gabot
696143,,,,Anthony Solometo
691615,,,,Jesus Garcia
807314,,,,Trevor Harrison
825685,,,,Johanse Gomez
702472,,,,Austin Callahan
690974,,,,Jake Eddington
677942,alexabl01,23789,alexb001,Blaze Alexander
833144,,,,Scarling Sterling
691758,,,,Erison Placencia
681217,silsech01,30074,silsc001,Chase Silseth
700251,,,,Brandon Clarke
681173,,,,Garrett Brown
623381,pannoth01,17281,pannt001,Thomas Pannone
812518,,,,Camden Janik
801471,,,,Austin Deming
670241,vinesda01,25928,vined001,Darius Vines
804859,,,,Robert Phelps
657097,webbja01,19274,webbj002,Jacob Webb
621097,wagueja01,18318,waguj001,Jacob Waguespack
686773,,,,Max Smith
694316,,,,Lebarron Johnson
672016,clarkde02,29858,clard004,Denzel Clarke
690998,,,,Jackson Miller
683739,,,,Mason Feole
804751,,,,Logan Poteet
694372,,,,Adam Seminaris
829210,,,,Ty Harvey
692174,,,,Sean Heppner
803172,,,,Griff O'Ferrall
835012,,,,Edwin Marte
836275,,,,Joismer Sandoval
807715,,,,Liam Sullivan
815983,,,,Coy James
694494,,,,Ty Johnson
687208,,,,Nathan Hickey
605119,anderbr06,18289,andeb006,Brian Anderson
812431,,,,Rory Fox
690217,,,,C. J. Culpepper
683233,,,,Douglas Hodo
666199,,,,Zach Linginfelter
674073,,,,Jack Weisenburger
650988,,,,Yeltsin Gudino
808469,,,,Logan Samuels
686217,frelisa01,29622,frels001,Sal Frelick
692290,,,,Carter Holton
702448,,,,C. J. Widger
681328,,,,Jonny Cuevas
686753,jamesdr01,26260,jamed003,Drey Jameson
696501,,,,Mark Coley
668905,,,,Cole Zabowski
815095,,,,David Rodriguez
642585,bautife01,20666,bautf001,Félix Bautista
675911,stridsp01,27498,stris002,Spencer Strider
605177,chafian01,12988,chafa001,Andrew Chafin
701829,,,,Trendan Parish
703628,,,,Carter McCulley
696508,,,,Alec Baker
691728,veenza01,27770,veenz001,Zac Veen
547001,poteeco01,18769,potec001,Cody Poteet
686529,,,,Nick Maldonado
678717,,,,Jose Valencia
665715,,,,José Sibrian
694377,yorkeni01,27504,yorkn001,Nick Yorke
687985,whitejo04,,,Josh White
828470,,,,Nick Wissman
821250,,,,Dariel Jaquez
691008,rajcima01,,,Max Rajcic
694358,,,,Tekoah Roby
805272,,,,Luke Young
668790,,,,Daniel Bakst
695572,,,,Will Koger
691343,,,,Roberto Martínez
701217,,,,Jackson Linn
688953,,,,Trevor Brigden
805453,,,,Eddy Alberto
666152,hamilda03,27531,hamid002,David Hamilton
689160,,,,Micah Yonamine
804114,,,,Luke Pelzer
815321,,,,Blake Wilson
623205,velazan01,14196,velaa001,Andrew Velazquez
831912,,,,Truman Pauley
669192,,,,Wil Jensen
670869,sotoli01,22471,sotol001,Livan Soto
691016,soderty01,27467,sodet001,Tyler Soderstrom
814382,,,,Troy Butler
688676,,,,Kevin Hardin
685121,,,,Beau Philip
822317,,,,Max Martin
801194,,,,Max Anderson
687328,,,,Luis Ramirez
808825,,,,Andrew Sears
680799,,,,Seth Gray
800063,,,,Andrew Taylor
643400,knighdu01,16537,knigd001,Dusten Knight
822490,,,,Ethan Lanthier
679641,,,,Nick Lackney
800075,,,,Noelin Cuevas
691775,,,,Ryan Clifford
687986,,,,Jorge Romero
685045,,,,Jesse Bergin
802504,,,,Myles Naylor
572971,keuchda01,9434,keucd001,Dallas Keuchel
686978,,,,Kade Mechals
690957,,,,Jace Bohrofen
676390,,,,Tommy Mace
815294,,,,Pier-Olivier Boucher
800627,,,,Christopher Paciolla
666302,,,,Jake Polancic
815877,,,,Jeremiah Jenkins
702208,,,,Dillon Tatum
808305,,,,Aldrin Gonzalez
689287,,,,Brock Begue
703469,,,,Jackson Humphries
683341,,,,David Calabrese
701698,,,,Izeah Muniz
607216,krehbjo01,13707,krehj001,Joey Krehbiel
810840,,,,Josh Blum
689377,,,,David Estevez
691020,,,,Carson Tucker
685112,mccamza01,,,Zach McCambley
829539,,,,Kaemyn Franklin
703607,boltehe01,,,Henry Bolte
683160,,,,Mason Greer
815104,,,,Graysen Tarlow
671157,,,,Tyler Keenan
686610,waldike01,27681,waldk003,Ken Waldichuk
690273,,,,Carson Carter
