date,channel,direction,assets_in,assets_out,unresolved,desc
2022-01-15,fa_minor,in,César Prieto,,0,Baltimore Orioles signed free agent 2B Cesar Prieto to a minor league contract.
2022-01-15,fa_minor,in,Yirber Ruiz,,0,Baltimore Orioles signed free agent OF Yirber Ruiz to a minor league contract.
2022-01-15,fa_minor,in,Edrei Campos,,0,Baltimore Orioles signed free agent SS Edrei Campos to a minor league contract.
2022-01-15,fa_minor,in,Henry Tejada,,0,Baltimore Orioles signed free agent RHP Henry Tejada to a minor league contract.
2022-01-15,fa_minor,in,Miguel Mesa,,0,Baltimore Orioles signed free agent RHP Miguel Mesa to a minor league contract.
2022-01-15,fa_minor,in,Juan Martínez,,0,Baltimore Orioles signed free agent OF Juan Martinez to a minor league contract.
2022-01-15,fa_minor,in,Adriam Santos,,0,Baltimore Orioles signed free agent SS Adriam Santos to a minor league contract.
2022-01-15,fa_minor,in,Jean Mata,,0,Baltimore Orioles signed free agent OF Jean Mata to a minor league contract.
2022-01-15,fa_minor,in,Ezequiel Bonilla,,0,Baltimore Orioles signed free agent RHP Ezequiel Bonilla to a minor league contract.
2022-01-15,fa_minor,in,Jesús  Palacios,,0,Baltimore Orioles signed free agent RHP Jesus Palacios to a minor league contract.
2022-01-15,fa_minor,in,Edwin Amparo,,0,Baltimore Orioles signed free agent SS Edwin Amparo to a minor league contract.
2022-01-15,fa_minor,in,Raylin Ramos,,0,Baltimore Orioles signed free agent OF Raylin Ramos to a minor league contract.
2022-01-15,fa_minor,in,Thomas Sosa,,0,Baltimore Orioles signed free agent OF Thomas Sosa to a minor league contract.
2022-01-15,fa_minor,in,Oscar Moreta,,0,Baltimore Orioles signed free agent RHP Oscar Moreta to a minor league contract.
2022-01-15,fa_minor,in,Cristian Benavides,,0,Baltimore Orioles signed free agent SS Cristian Benavides to a minor league contract.
2022-01-15,fa_minor,in,Andrés Parra,,0,Baltimore Orioles signed free agent LHP Andres Parra to a minor league contract.
2022-01-15,fa_minor,in,José Noguera,,0,Baltimore Orioles signed free agent C Jose Noguera to a minor league contract.
2022-01-15,fa_minor,in,Leandro Arias,,0,Baltimore Orioles signed free agent SS Leandro Arias to a minor league contract.
2022-01-15,fa_minor,in,Adrián Delgado,,0,Baltimore Orioles signed free agent RHP Adrian Delgado to a minor league contract.
2022-01-15,fa_minor,in,Alfredo Velásquez,,0,Baltimore Orioles signed free agent 3B Alfredo Velasquez to a minor league contract.
2022-01-15,fa_minor,in,Braylin Tavera,,0,Baltimore Orioles signed free agent OF Braylin Tavera to a minor league contract.
2022-01-15,fa_minor,in,Aron Estrada,,0,Baltimore Orioles signed free agent 2B Aron Estrada to a minor league contract.
2022-01-15,fa_minor,in,Fernando Peguero,,0,Baltimore Orioles signed free agent SS Fernando Peguero to a minor league contract.
2022-01-15,fa_minor,in,Andrés Nolaya,,0,Baltimore Orioles signed free agent C Andres Nolaya to a minor league contract.
2022-01-15,fa_minor,in,Elis Cuevas,,0,Baltimore Orioles signed free agent SS Elis Cuevas to a minor league contract.
2022-02-18,fa_minor,in,Shed Long Jr.,,0,Baltimore Orioles signed free agent 2B Shed Long Jr. to a minor league contract.
2022-02-20,fa_minor,in,Andres Angulo,,0,Baltimore Orioles signed free agent C Andres Angulo to a minor league contract.
2022-03-07,fa_minor,in,Wes Robertson,,0,Baltimore Orioles signed free agent RHP Wes Robertson to a minor league contract.
2022-03-07,fa_minor,in,Buddy Baumann,,0,Baltimore Orioles signed free agent LHP Buddy Baumann to a minor league contract.
2022-03-12,fa_major,in,Jordan Lyles,,0,Baltimore Orioles signed free agent RHP Jordan Lyles.
2022-03-13,fa_minor,in,Anthony Bemboom,,0,Baltimore Orioles signed free agent C Anthony Bemboom to a minor league contract and invited him to spring training.
2022-03-14,fa_major,in,Robinson Chirinos,,0,Baltimore Orioles signed free agent C Robinson Chirinos.
2022-03-15,fa_minor,in,Chris Owings,,0,Baltimore Orioles signed free agent SS Chris Owings to a minor league contract and invited him to spring training.
2022-03-16,fa_minor,in,Chris Ellis,,0,Baltimore Orioles signed free agent RHP Chris Ellis to a minor league contract and invited him to spring training.
2022-03-16,fa_minor,in,Conner Greene,,0,Baltimore Orioles signed free agent RHP Conner Greene to a minor league contract and invited him to spring training.
2022-03-18,fa_minor,in,Beau Taylor,,0,Baltimore Orioles signed free agent C Beau Taylor to a minor league contract and invited him to spring training.
2022-04-03,trade,both,Antonio Velez; Kevin Guerrero,Cole Sulser; Tanner Scott,0,Baltimore Orioles traded RHP Cole Sulser and LHP Tanner Scott to Miami Marlins for OF Kevin Guerrero and LHP Antonio Velez.
